TrafficAdmin	TrafficUnit	DriverLicenseNumber	DriverLicenseTypeId	DriverName	Nationality	Address	OperationStart	DriverMobile	DriverPhoto	LicenseExpireDate	LicenseIssueDate
جنوب سيناء 	الطور	95	ثالثة 	 فوزى محمود عبد العزيز        	مصري	جنوب سيناء ,  الطور -56 شارع المنصورة		56 شارع المنصورة	17	1/1/1900 12:00:00 AM	7/18/1905 12:00:00 AM
الغربية	طنطا	96	أولى	 محمد حسين عبد العزيز         	مصري	الغربية,  طنطا -53 طريق سلسلة جبال البحر الأحمر		53 طريق سلسلة جبال البحر الأحمر	14	1/5/1900 12:00:00 AM	7/16/1905 12:00:00 AM
الشرقية	الزقازيق	97	أولى	 محمد رضا عبد الرحمن          	مصري	الشرقية,  الزقازيق -60 طريق القلعة		60 طريق القلعة	13	1/6/1900 12:00:00 AM	7/18/1905 12:00:00 AM
الدقهلية	المنصورة	98	ثانية	 محمد زكريا عبد الرحمن        	مصري	الدقهلية,  المنصورة -46 طريق الدلتا		46 طريق الدلتا	19	1/12/1900 12:00:00 AM	7/18/1905 12:00:00 AM
سوهاج	سوهاج	99	ثانية	 محمد سامى رائف      	مصري	سوهاج,  سوهاج -39 طريق توت عنخ آمون		39 طريق توت عنخ آمون	19	1/3/1900 12:00:00 AM	7/16/1905 12:00:00 AM
الشرقية	الزقازيق	100	ثانية	 محمد سامى عبد الله           	مصري	الشرقية,  الزقازيق -11 طريق دمنهور		11 طريق دمنهور	6	1/9/1900 12:00:00 AM	7/16/1905 12:00:00 AM
جنوب سيناء 	الطور	101	ثانية	 محمد سامى لطيف         	مصري	جنوب سيناء ,  الطور -14 شارع نجيب محفوظ		14 شارع نجيب محفوظ	13	1/1/1900 12:00:00 AM	7/18/1905 12:00:00 AM
الغربية	طنطا	102	ثانية	 محمد عبد الرحمن زكريا        	مصري	الغربية,  طنطا -70 ميدان أسوان السياحي		70 ميدان أسوان السياحي	21	1/11/1900 12:00:00 AM	7/18/1905 12:00:00 AM
جنوب سيناء 	الطور	103	ثانية	 محمد عبد الرحمن فوزى         	مصري	جنوب سيناء ,  الطور -13 طريق الوادي الجديد		13 طريق الوادي الجديد	0	1/4/1900 12:00:00 AM	7/17/1905 12:00:00 AM
الغربية	طنطا	104	ثالثة 	 محمد عبد العزيز زكريا        	مصري	الغربية,  طنطا -92 شارع كوبري القصر		92 شارع كوبري القصر	22	1/8/1900 12:00:00 AM	7/16/1905 12:00:00 AM
الغربية	طنطا	105	ثالثة 	 محمد عبد الفتاح محمود         	مصري	الغربية,  طنطا -35 شارع الفسطاط		35 شارع الفسطاط	1	1/1/1900 12:00:00 AM	7/18/1905 12:00:00 AM
جنوب سيناء 	الطور	106	ثالثة 	 محمد عبد الله عبد العزيز     	مصري	جنوب سيناء ,  الطور -22 طريق التكنولوجيا المتقدمة		22 طريق التكنولوجيا المتقدمة	14	1/3/1900 12:00:00 AM	7/18/1905 12:00:00 AM
الشرقية	الزقازيق	107	ثالثة 	 محمد عبد الله فوزى           	مصري	الشرقية,  الزقازيق -11 ميدان الحديد الصلب		11 ميدان الحديد الصلب	7	1/6/1900 12:00:00 AM	7/17/1905 12:00:00 AM
الشرقية	الزقازيق	108	ثانية	 محمد عبد الله قدري   	مصري	الشرقية,  الزقازيق -68 شارع الملك رمسيس		68 شارع الملك رمسيس	17	1/8/1900 12:00:00 AM	7/18/1905 12:00:00 AM
الشرقية	الزقازيق	109	ثانية	 محمد علي محمد                 	مصري	الشرقية,  الزقازيق -4 شارع النخيل		4 شارع النخيل	25	1/10/1900 12:00:00 AM	7/17/1905 12:00:00 AM
أسيوط	الوصية	110	ثالثة 	 محمد فوزى عبد الله           	مصري	أسيوط,  الوصية -16 طريق السودان		16 طريق السودان	25	1/2/1900 12:00:00 AM	7/17/1905 12:00:00 AM
الشرقية	الزقازيق	111	ثالثة 	 محمد محمود عبد العزيز        	مصري	الشرقية,  الزقازيق -91 شارع النصر 		91 شارع النصر 	27	1/8/1900 12:00:00 AM	7/16/1905 12:00:00 AM
الدقهلية	المنصورة	112	ثانية	 محمد نبيل عبد الله           	مصري	الدقهلية,  المنصورة -19 ميدان الأقصر التاريخي		19 ميدان الأقصر التاريخي	26	1/12/1900 12:00:00 AM	7/16/1905 12:00:00 AM
سوهاج	سوهاج	113	أولى	 محمود إبراهيم عبد الرحمن     	مصري	سوهاج,  سوهاج -53 شارع الشباب 		53 شارع الشباب 	16	1/4/1900 12:00:00 AM	7/16/1905 12:00:00 AM
المنيا	المنيا	114	أولى	 محمود حسين عبد العزيز        	مصري	المنيا,  المنيا -54 شارع الخرطوم		54 شارع الخرطوم	19	1/4/1900 12:00:00 AM	7/18/1905 12:00:00 AM
سوهاج	سوهاج	115	ثانية	 محمود زكريا عبد الله         	مصري	سوهاج,  سوهاج -40 شارع مطروح الجديدة		40 شارع مطروح الجديدة	22	1/7/1900 12:00:00 AM	7/18/1905 12:00:00 AM
المنيا	المنيا	116	ثالثة 	 محمود سعيد عبد الله          	مصري	المنيا,  المنيا -84 ميدان الواحات		84 ميدان الواحات	8	1/12/1900 12:00:00 AM	7/18/1905 12:00:00 AM
المنيا	المنيا	117	ثانية	 محمود عبد العزيز عبد الله    	مصري	المنيا,  المنيا -50 طريق البيئة النظيفة		50 طريق البيئة النظيفة	5	1/7/1900 12:00:00 AM	7/16/1905 12:00:00 AM
جنوب سيناء 	الطور	118	ثانية	 محمود عبد العزيزابراهيم	مصري	جنوب سيناء ,  الطور -83 شارع وادي الملكات		83 شارع وادي الملكات	16	1/2/1900 12:00:00 AM	7/18/1905 12:00:00 AM
الدقهلية	المنصورة	119	ثانية	 محمود عبد الفتاح عبد الرحمن  	مصري	الدقهلية,  المنصورة -63 شارع الصناعات الغذائية		63 شارع الصناعات الغذائية	12	1/5/1900 12:00:00 AM	7/18/1905 12:00:00 AM
الشرقية	الزقازيق	120	ثالثة 	 محمود عبد الفتاح عبد العزيز 	مصري	الشرقية,  الزقازيق -56 شارع البحر الأبيض المتوسط		56 شارع البحر الأبيض المتوسط	19	1/8/1900 12:00:00 AM	7/17/1905 12:00:00 AM
الغربية	طنطا	121	ثانية	 يوسف زكريا عبد الله          	مصري	الغربية,  طنطا -51 ميدان البلح		51 ميدان البلح	0	1/4/1900 12:00:00 AM	7/18/1905 12:00:00 AM
سوهاج	سوهاج	122	ثانية	 يوسف عبد الرحمن محمد         	مصري	سوهاج,  سوهاج -12 ميدان التحرير		12 ميدان التحرير	7	1/1/1900 12:00:00 AM	7/17/1905 12:00:00 AM
جنوب سيناء 	الطور	123	ثانية	 يوسف عبد الفتاح عبد الرحمن   	مصري	جنوب سيناء ,  الطور -39 ميدان دار الأوبرا		39 ميدان دار الأوبرا	11	1/11/1900 12:00:00 AM	7/16/1905 12:00:00 AM
